
> mentalload@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.55:3000
- Environments: .env.local
✓ Ready in 326ms

(node:55390) [DEP0205] DeprecationWarning: `module.register()` is deprecated. Use `module.registerHooks()` instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
 POST /auth/login 200 in 122ms (next.js: 35ms, proxy.ts: 5ms, application-code: 82ms)
 POST /auth/login 200 in 102ms (next.js: 8ms, proxy.ts: 42ms, application-code: 53ms)
 POST /auth/login 200 in 48ms (next.js: 4ms, proxy.ts: 5ms, application-code: 39ms)
 PATCH /auth/login 200 in 24ms (next.js: 1242µs, proxy.ts: 5ms, application-code: 18ms)
 PATCH /auth/login 200 in 45ms (next.js: 2ms, proxy.ts: 3ms, application-code: 40ms)
 PATCH /auth/login 200 in 44ms (next.js: 3ms, proxy.ts: 18ms, application-code: 23ms)
 PATCH /auth/login 200 in 21ms (next.js: 1290µs, proxy.ts: 1704µs, application-code: 18ms)
 POST /auth/login 200 in 73ms (next.js: 4ms, proxy.ts: 3ms, application-code: 66ms)
 POST /auth/login 200 in 76ms (next.js: 26ms, proxy.ts: 4ms, application-code: 46ms)
 POST /auth/login 200 in 206ms (next.js: 5ms, proxy.ts: 8ms, application-code: 192ms)
 POST /auth/login 200 in 204ms (next.js: 14ms, proxy.ts: 7ms, application-code: 183ms)
 POST /auth/login 200 in 199ms (next.js: 16ms, proxy.ts: 63ms, application-code: 120ms)
 POST /auth/login 200 in 156ms (next.js: 33ms, proxy.ts: 26ms, application-code: 97ms)
 POST /auth/login 200 in 157ms (next.js: 53ms, proxy.ts: 18ms, application-code: 87ms)
 POST /auth/login 200 in 150ms (next.js: 51ms, proxy.ts: 49ms, application-code: 49ms)
 POST /auth/login 200 in 99ms (next.js: 3ms, proxy.ts: 4ms, application-code: 93ms)
 POST /auth/login 200 in 96ms (next.js: 4ms, proxy.ts: 6ms, application-code: 86ms)
 POST /auth/login 200 in 110ms (next.js: 5ms, proxy.ts: 22ms, application-code: 83ms)
 POST /auth/login 200 in 89ms (next.js: 5ms, proxy.ts: 26ms, application-code: 57ms)
 POST /auth/login 200 in 65ms (next.js: 3ms, proxy.ts: 19ms, application-code: 43ms)
 POST /auth/login 200 in 72ms (next.js: 3ms, proxy.ts: 17ms, application-code: 52ms)
 POST /auth/login 200 in 75ms (next.js: 4ms, proxy.ts: 4ms, application-code: 66ms)
 POST /auth/login 200 in 95ms (next.js: 5ms, proxy.ts: 27ms, application-code: 64ms)
 POST /auth/login 200 in 88ms (next.js: 20ms, proxy.ts: 5ms, application-code: 63ms)
 POST /auth/login 200 in 88ms (next.js: 5ms, proxy.ts: 37ms, application-code: 47ms)
 PATCH /auth/login 200 in 53ms (next.js: 2ms, proxy.ts: 3ms, application-code: 48ms)
 POST /auth/login 200 in 52ms (next.js: 10ms, proxy.ts: 20ms, application-code: 21ms)
 PATCH /auth/login 200 in 22ms (next.js: 1525µs, proxy.ts: 1549µs, application-code: 19ms)
 PATCH /auth/login 200 in 21ms (next.js: 1137µs, proxy.ts: 1510µs, application-code: 18ms)
 PATCH /auth/login 200 in 18ms (next.js: 1086µs, proxy.ts: 1429µs, application-code: 16ms)
 POST /auth/login 200 in 51ms (next.js: 6ms, proxy.ts: 3ms, application-code: 42ms)
 POST /auth/login 200 in 50ms (next.js: 30ms, proxy.ts: 4ms, application-code: 16ms)
 POST /auth/login 200 in 37ms (next.js: 1524µs, proxy.ts: 2ms, application-code: 33ms)
 POST /auth/login 200 in 35ms (next.js: 1954µs, proxy.ts: 15ms, application-code: 18ms)
 POST /auth/login 200 in 33ms (next.js: 1858µs, proxy.ts: 1890µs, application-code: 29ms)
 POST /auth/login 200 in 33ms (next.js: 15ms, proxy.ts: 1995µs, application-code: 16ms)
 POST /auth/login 200 in 32ms (next.js: 1670µs, proxy.ts: 1474µs, application-code: 29ms)
 PATCH /auth/login 200 in 32ms (next.js: 15ms, proxy.ts: 1643µs, application-code: 16ms)
 PATCH /auth/login 200 in 24ms (next.js: 1106µs, proxy.ts: 1481µs, application-code: 21ms)
 PATCH /auth/login 200 in 22ms (next.js: 1090µs, proxy.ts: 1755µs, application-code: 19ms)
 PATCH /auth/login 200 in 23ms (next.js: 1255µs, proxy.ts: 1569µs, application-code: 21ms)
 POST /auth/login 200 in 44ms (next.js: 3ms, proxy.ts: 1463µs, application-code: 39ms)
 POST /auth/login 200 in 42ms (next.js: 3ms, proxy.ts: 21ms, application-code: 19ms)
 POST /auth/login 200 in 53ms (next.js: 3ms, proxy.ts: 2ms, application-code: 47ms)
 POST /auth/login 200 in 52ms (next.js: 17ms, proxy.ts: 3ms, application-code: 32ms)
 POST /auth/login 200 in 39ms (next.js: 1988µs, proxy.ts: 1574µs, application-code: 35ms)
 POST /auth/login 200 in 38ms (next.js: 16ms, proxy.ts: 1859µs, application-code: 20ms)
 POST /auth/login 200 in 39ms (next.js: 1395µs, proxy.ts: 4ms, application-code: 34ms)
 PATCH /auth/login 200 in 35ms (next.js: 1964µs, proxy.ts: 16ms, application-code: 17ms)
 PATCH /auth/login 200 in 23ms (next.js: 1283µs, proxy.ts: 1678µs, application-code: 20ms)
 PATCH /auth/login 200 in 20ms (next.js: 889µs, proxy.ts: 1616µs, application-code: 17ms)
 PATCH /auth/login 200 in 22ms (next.js: 941µs, proxy.ts: 1265µs, application-code: 20ms)
 POST /auth/login 200 in 86ms (next.js: 6ms, proxy.ts: 3ms, application-code: 76ms)
 POST /auth/login 200 in 89ms (next.js: 20ms, proxy.ts: 4ms, application-code: 65ms)
 POST /auth/login 200 in 153ms (next.js: 9ms, proxy.ts: 8ms, application-code: 136ms)
 POST /auth/login 200 in 149ms (next.js: 30ms, proxy.ts: 9ms, application-code: 109ms)
 POST /auth/login 200 in 149ms (next.js: 53ms, proxy.ts: 10ms, application-code: 86ms)
 POST /auth/login 200 in 114ms (next.js: 7ms, proxy.ts: 49ms, application-code: 58ms)
 POST /auth/login 200 in 89ms (next.js: 22ms, proxy.ts: 28ms, application-code: 40ms)
 POST /auth/login 200 in 66ms (next.js: 18ms, proxy.ts: 22ms, application-code: 26ms)
 POST /auth/login 200 in 102ms (next.js: 4ms, proxy.ts: 5ms, application-code: 93ms)
 POST /auth/login 200 in 111ms (next.js: 6ms, proxy.ts: 22ms, application-code: 83ms)
 POST /auth/login 200 in 95ms (next.js: 25ms, proxy.ts: 7ms, application-code: 63ms)
 POST /auth/login 200 in 91ms (next.js: 21ms, proxy.ts: 26ms, application-code: 44ms)
 POST /auth/login 200 in 60ms (next.js: 2ms, proxy.ts: 7ms, application-code: 51ms)
 POST /auth/login 200 in 102ms (next.js: 2ms, proxy.ts: 4ms, application-code: 96ms)
 POST /auth/login 200 in 97ms (next.js: 32ms, proxy.ts: 5ms, application-code: 60ms)
 POST /auth/login 200 in 103ms (next.js: 5ms, proxy.ts: 4ms, application-code: 94ms)
 POST /auth/login 200 in 103ms (next.js: 12ms, proxy.ts: 5ms, application-code: 86ms)
 POST /auth/login 200 in 81ms (next.js: 11ms, proxy.ts: 14ms, application-code: 57ms)
 POST /auth/login 200 in 40ms (next.js: 4ms, proxy.ts: 4ms, application-code: 33ms)
 PATCH /auth/login 200 in 38ms (next.js: 17ms, proxy.ts: 4ms, application-code: 18ms)
 PATCH /auth/login 200 in 40ms (next.js: 2ms, proxy.ts: 3ms, application-code: 35ms)
 PATCH /auth/login 200 in 39ms (next.js: 3ms, proxy.ts: 16ms, application-code: 21ms)
 PATCH /auth/login 200 in 26ms (next.js: 1848µs, proxy.ts: 1556µs, application-code: 23ms)
 POST /auth/login 200 in 86ms (next.js: 3ms, proxy.ts: 2ms, application-code: 81ms)
 POST /auth/login 200 in 116ms (next.js: 5ms, proxy.ts: 10ms, application-code: 100ms)
 POST /auth/login 200 in 149ms (next.js: 4ms, proxy.ts: 5ms, application-code: 140ms)
 POST /auth/login 200 in 148ms (next.js: 23ms, proxy.ts: 4ms, application-code: 121ms)
 POST /auth/login 200 in 161ms (next.js: 32ms, proxy.ts: 21ms, application-code: 109ms)
 POST /auth/login 200 in 159ms (next.js: 21ms, proxy.ts: 31ms, application-code: 108ms)
 POST /auth/login 200 in 159ms (next.js: 22ms, proxy.ts: 46ms, application-code: 91ms)
 POST /auth/login 200 in 100ms (next.js: 6ms, proxy.ts: 31ms, application-code: 63ms)
 POST /auth/login 200 in 75ms (next.js: 3ms, proxy.ts: 5ms, application-code: 67ms)
 POST /auth/login 200 in 99ms (next.js: 17ms, proxy.ts: 4ms, application-code: 78ms)
 POST /auth/login 200 in 106ms (next.js: 2ms, proxy.ts: 6ms, application-code: 97ms)
 POST /auth/login 200 in 102ms (next.js: 5ms, proxy.ts: 21ms, application-code: 76ms)
 POST /auth/login 200 in 83ms (next.js: 4ms, proxy.ts: 14ms, application-code: 65ms)
 POST /auth/login 200 in 87ms (next.js: 22ms, proxy.ts: 16ms, application-code: 49ms)
 POST /auth/login 200 in 56ms (next.js: 2ms, proxy.ts: 4ms, application-code: 50ms)
 POST /auth/login 200 in 89ms (next.js: 4ms, proxy.ts: 19ms, application-code: 66ms)
 POST /auth/login 200 in 68ms (next.js: 10ms, proxy.ts: 4ms, application-code: 54ms)
 POST /auth/login 200 in 44ms (next.js: 1840µs, proxy.ts: 4ms, application-code: 38ms)
 PATCH /auth/login 200 in 24ms (next.js: 1203µs, proxy.ts: 4ms, application-code: 19ms)
 POST /auth/login 200 in 42ms (next.js: 1585µs, proxy.ts: 3ms, application-code: 38ms)
 PATCH /auth/login 200 in 27ms (next.js: 1344µs, proxy.ts: 2ms, application-code: 24ms)
 PATCH /auth/login 200 in 19ms (next.js: 1179µs, proxy.ts: 1683µs, application-code: 16ms)
 PATCH /auth/login 200 in 18ms (next.js: 1225µs, proxy.ts: 1504µs, application-code: 15ms)
✓ Compiled in 18ms
